iter	Passed	Remaining
585	6611	4670
586	6622	4659
587	6633	4648
588	6644	4636
589	6654	4624
590	6663	4611
591	6676	4601
592	6689	4591
593	6700	4579
594	6710	4567
595	6721	4556
596	6732	4544
597	6743	4533
598	6756	4522
599	6766	4511
600	6779	4500
601	6789	4489
602	6799	4476
603	6810	4465
604	6821	4453
605	6831	4441
606	6841	4429
607	6850	4417
608	6862	4406
609	6873	4394
610	6884	4383
611	6895	4371
612	6910	4362
613	6922	4351
614	6941	4345
615	6955	4336
616	6968	4325
617	6984	4316
618	6995	4305
619	7007	4294
620	7016	4282
621	7027	4270
622	7038	4259
623	7049	4247
624	7058	4235
625	7069	4223
626	7080	4212
627	7093	4202
628	7103	4190
629	7114	4178
630	7126	4167
631	7136	4155
632	7147	4143
633	7156	4131
634	7169	4120
635	7180	4109
636	7190	4097
637	7205	4088
638	7216	4076
639	7225	4064
640	7236	4052
641	7247	4041
642	7258	4029
643	7269	4018
644	7280	4007
645	7290	3995
646	7301	3983
647	7312	3972
648	7323	3960
649	7334	3949
650	7345	3937
651	7354	3925
652	7364	3913
653	7375	3902
654	7386	3890
655	7396	3878
656	7407	3867
657	7418	3855
658	7429	3844
659	7441	3833
660	7450	3820
661	7460	3809
662	7472	3798
663	7483	3786
664	7493	3774
665	7505	3763
666	7515	3752
667	7528	3741
668	7538	3729
669	7551	3719
670	7561	3707
671	7573	3696
672	7588	3686
673	7598	3675
674	7608	3663
675	7619	3652
676	7630	3640
677	7640	3628
678	7650	3616
679	7662	3605
680	7673	3594
681	7683	3582
682	7694	3571
683	7706	3560
684	7716	3548
685	7726	3536
686	7737	3525
687	7748	3513
688	7759	3502
689	7770	3491
690	7784	3480
691	7794	3469
692	7804	3457
693	7814	3445
694	7826	3434
695	7836	3422
696	7848	3412
697	7860	3400
698	7870	3389
699	7881	3377
700	7892	3366
701	7902	3354
702	7913	3343
703	7924	3331
704	7933	3319
705	7944	3308
706	7954	3296
707	7964	3284
708	7975	3273
709	7987	3262
710	7997	3250
711	8010	3240
712	8025	3230
713	8039	3220
714	8049	3208
715	8060	3197
716	8070	3185
717	8081	3174
718	8095	3163
719	8107	3153
720	8119	3141
721	8129	3130
722	8139	3118
723	8150	3107
724	8161	3095
725	8172	3084
726	8182	3072
727	8192	3060
728	8203	3049
729	8214	3038
730	8228	3028
731	8239	3016
732	8250	3005
733	8261	2994
734	8272	2982
735	8283	2971
736	8293	2959
737	8303	2947
738	8315	2936
739	8326	2925
740	8337	2914
741	8349	2903
742	8360	2891
743	8370	2880
744	8382	2869
745	8392	2857
746	8403	2846
747	8413	2834
748	8424	2823
749	8436	2812
750	8446	2800
751	8457	2789
752	8467	2777
753	8478	2766
754	8489	2754
755	8516	2748
756	8541	2741
757	8554	2731
758	8575	2722
759	8596	2714
760	8618	2706
761	8635	2697
762	8651	2687
763	8667	2677
764	8685	2668
765	8701	2658
766	8720	2649
767	8735	2638
768	8752	2629
769	8772	2620
770	8803	2614
771	8863	2617
772	8898	2613
773	8943	2611
774	8977	2606
775	9011	2601
776	9042	2595
777	9074	2589
778	9120	2587
779	9157	2582
780	9193	2577
781	9227	2572
782	9271	2569
783	9305	2563
784	9340	2558
785	9383	2554
786	9417	2548
787	9451	2542
788	9495	2539
789	9530	2533
790	9578	2530
791	9626	2528
792	9673	2525
793	9697	2516
794	9743	2512
795	9789	2508
796	9826	2502
797	9893	2504
798	9941	2500
799	9988	2497
800	10022	2490
801	10074	2487
802	10105	2479
803	10138	2471
804	10186	2467
805	10218	2459
806	10263	2454
807	10296	2446
808	10343	2442
809	10377	2434
810	10426	2429
811	10466	2423
812	10501	2415
813	10521	2404
814	10564	2398
815	10590	2388
816	10607	2375
817	10623	2363
818	10635	2350
819	10650	2337
820	10662	2324
821	10672	2311
822	10682	2297
823	10693	2283
824	10703	2270
825	10714	2257
826	10726	2243
827	10737	2230
828	10748	2217
829	10759	2203
830	10772	2190
831	10781	2177
832	10792	2163
833	10802	2150
834	10814	2137
835	10826	2123
836	10836	2110
837	10849	2097
838	10859	2083
839	10869	2070
840	10880	2057
841	10890	2043
842	10900	2030
843	10911	2016
844	10922	2003
845	10934	1990
846	10944	1976
847	10955	1963
848	10966	1950
849	10977	1937
850	10990	1924
851	11000	1910
852	11012	1897
853	11026	1885
854	11037	1871
855	11048	1858
856	11059	1845
857	11069	1832
858	11080	1818
859	11091	1805
860	11101	1792
861	11112	1778
862	11124	1765
863	11141	1753
864	11186	1745
865	11200	1733
866	11212	1719
867	11222	1706
868	11232	1693
869	11243	1680
870	11256	1667
871	11267	1653
872	11279	1640
873	11292	1627
874	11304	1614
875	11316	1601
876	11337	1590
877	11348	1576
878	11360	1563
879	11372	1550
880	11382	1537
881	11392	1524
882	11404	1511
883	11415	1497
884	11426	1484
885	11438	1471
886	11451	1458
887	11460	1445
888	11471	1432
889	11482	1419
890	11493	1406
891	11509	1393
892	11533	1381
893	11549	1369
894	11564	1356
895	11578	1343
896	11592	1331
897	11609	1318
